Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,null,null,null,null,null,null
2018-02-27,49.805000,49.805000,49.805000,49.805000,49.805000,20580
2018-02-28,49.805000,49.805000,49.805000,49.805000,49.805000,12850
2018-03-01,49.805000,49.805000,49.805000,49.805000,49.805000,1907
2018-03-02,49.805000,49.805000,49.805000,49.805000,49.805000,1606
2018-03-05,49.805000,49.805000,49.805000,49.805000,49.805000,2510
2018-03-06,49.805000,49.805000,49.805000,49.805000,49.805000,10642
2018-03-07,49.805000,49.805000,49.805000,49.805000,49.805000,210822
2018-03-08,49.805000,49.805000,49.805000,49.805000,49.805000,1004
2018-03-09,49.805000,49.805000,49.805000,49.805000,49.805000,1606
2018-03-12,49.805000,49.805000,49.805000,49.805000,49.805000,0
2018-03-13,49.805000,49.805000,49.805000,49.805000,49.805000,11344
2018-03-14,49.805000,49.805000,49.805000,49.805000,49.805000,502
2018-03-15,49.805000,49.805000,49.805000,49.805000,49.805000,9136
2018-03-16,49.805000,49.805000,49.805000,49.805000,49.805000,100
2018-03-19,49.805000,49.805000,49.805000,49.805000,49.805000,50196
2018-03-20,49.805000,49.805000,49.805000,49.805000,49.805000,201
2018-03-21,49.805000,49.805000,49.805000,49.805000,49.805000,5020
2018-03-22,49.805000,49.805000,49.805000,49.805000,49.805000,591608
2018-03-23,49.805000,49.805000,49.805000,49.805000,49.805000,602
2018-03-26,49.805000,49.805000,49.805000,49.805000,49.805000,348158
2018-03-27,49.805000,49.805000,49.805000,49.805000,49.805000,27106
2018-03-28,49.805000,49.805000,49.805000,49.805000,49.805000,7630
2018-03-29,49.805000,49.805000,49.805000,49.805000,49.805000,0
2018-03-30,49.805000,49.805000,49.805000,49.805000,49.805000,0
2018-04-02,49.805000,49.805000,49.805000,49.805000,49.805000,17870
2018-04-03,49.805000,49.805000,49.805000,49.805000,49.805000,105411
2018-04-04,49.805000,49.805000,49.805000,49.805000,49.805000,2711
2018-04-05,49.805000,49.805000,49.805000,49.805000,49.805000,6325
2018-04-06,49.805000,49.805000,49.805000,49.805000,49.805000,301
2018-04-09,49.805000,49.805000,49.805000,49.805000,49.805000,82120
