Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,null,null,null,null,null,null
2018-02-27,5650.000000,5675.000000,5550.000000,5575.000000,5450.922363,165600
2018-02-28,5575.000000,5675.000000,5550.000000,5600.000000,5475.366211,338500
2018-03-01,5600.000000,5600.000000,5425.000000,5450.000000,5328.704590,967500
2018-03-02,5450.000000,5450.000000,5400.000000,5425.000000,5304.260742,81100
2018-03-05,5425.000000,5525.000000,5425.000000,5500.000000,5377.591797,225400
2018-03-06,5525.000000,5600.000000,5475.000000,5550.000000,5426.479004,342900
2018-03-07,5550.000000,5600.000000,5300.000000,5600.000000,5475.366211,212400
2018-03-08,5600.000000,5600.000000,5450.000000,5550.000000,5426.479004,390000
2018-03-09,5550.000000,5550.000000,5400.000000,5450.000000,5328.704590,452200
2018-03-12,5450.000000,5675.000000,5450.000000,5650.000000,5524.252930,331600
2018-03-13,5650.000000,5800.000000,5550.000000,5600.000000,5475.366211,730500
2018-03-14,5650.000000,5675.000000,5525.000000,5575.000000,5450.922363,30800
2018-03-15,5500.000000,5500.000000,5200.000000,5300.000000,5182.042969,462800
2018-03-16,5350.000000,5350.000000,5200.000000,5200.000000,5084.268555,164100
2018-03-19,5225.000000,5225.000000,5100.000000,5100.000000,4986.494141,19800
2018-03-20,5100.000000,5175.000000,4900.000000,4940.000000,4830.055176,206700
2018-03-21,4990.000000,5000.000000,4930.000000,4950.000000,4839.832520,183000
2018-03-22,4990.000000,5000.000000,4950.000000,4950.000000,4839.832520,84200
2018-03-23,4910.000000,4990.000000,4900.000000,4990.000000,4878.942383,52900
2018-03-26,4990.000000,4990.000000,4880.000000,4950.000000,4839.832520,428900
2018-03-27,4990.000000,5000.000000,4910.000000,4940.000000,4830.055176,127900
2018-03-28,4920.000000,4920.000000,4810.000000,4850.000000,4742.058105,186000
2018-03-29,4850.000000,4870.000000,4740.000000,4750.000000,4644.283691,80800
2018-03-30,4750.000000,4750.000000,4750.000000,4750.000000,4644.283691,0
2018-04-02,4790.000000,4820.000000,4750.000000,4760.000000,4654.061035,93700
2018-04-03,4760.000000,5150.000000,4760.000000,4880.000000,4771.390137,286400
2018-04-04,4990.000000,4990.000000,4840.000000,4870.000000,4761.612793,473100
2018-04-05,4900.000000,4900.000000,4720.000000,4740.000000,4634.506348,173600
2018-04-06,4780.000000,4820.000000,4740.000000,4800.000000,4693.170898,882000
2018-04-09,4800.000000,4850.000000,4800.000000,4820.000000,4712.725586,42500
2018-04-10,4840.000000,4850.000000,4770.000000,4800.000000,4693.170898,268500
2018-04-11,4800.000000,4860.000000,4790.000000,4790.000000,4683.393555,786400
2018-04-12,4800.000000,4850.000000,4770.000000,4780.000000,4673.615723,110500
2018-04-13,4820.000000,4820.000000,4740.000000,4740.000000,4634.506348,962100
2018-04-16,4740.000000,4740.000000,4740.000000,4740.000000,4634.506348,0
2018-04-17,4740.000000,4740.000000,4740.000000,4740.000000,4634.506348,0
2018-04-18,4730.000000,4760.000000,4630.000000,4640.000000,4536.731934,1356800
2018-04-19,4640.000000,4640.000000,4640.000000,4640.000000,4536.731934,0
2018-04-20,4640.000000,4640.000000,4640.000000,4640.000000,4536.731934,0
2018-04-23,4650.000000,4650.000000,4600.000000,4620.000000,4517.176758,800000
2018-04-24,4630.000000,4630.000000,4580.000000,4600.000000,4497.622070,650100
2018-04-25,4600.000000,4600.000000,4600.000000,4600.000000,4497.622070,0
2018-04-26,4600.000000,4600.000000,4600.000000,4600.000000,4497.622070,0
2018-04-27,4600.000000,4600.000000,4600.000000,4600.000000,4497.622070,0
2018-04-30,3900.000000,3920.000000,3730.000000,3780.000000,3695.872070,1908300
2018-05-01,3780.000000,3780.000000,3780.000000,3780.000000,3695.872070,0
2018-05-02,3780.000000,3800.000000,3740.000000,3790.000000,3705.649414,2663200
2018-05-03,3790.000000,3800.000000,3710.000000,3740.000000,3656.762207,1204500
2018-05-04,3720.000000,3740.000000,3700.000000,3700.000000,3617.652588,135000
2018-05-07,3750.000000,3750.000000,3620.000000,3620.000000,3539.433105,294300
2018-05-08,3650.000000,3650.000000,3390.000000,3440.000000,3363.439209,498900
2018-05-09,3440.000000,3580.000000,3410.000000,3430.000000,3353.661621,434700
2018-05-10,3430.000000,3430.000000,3430.000000,3430.000000,3353.661621,0
2018-05-11,3430.000000,3550.000000,3400.000000,3460.000000,3382.993896,305600
2018-05-14,3460.000000,3460.000000,3230.000000,3330.000000,3255.887207,732300
2018-05-15,3250.000000,3340.000000,3250.000000,3280.000000,3207.000000,1429300
2018-05-16,3280.000000,3320.000000,3270.000000,3280.000000,3207.000000,1338800
2018-05-17,3280.000000,3450.000000,3270.000000,3280.000000,3207.000000,2948700
2018-05-18,3270.000000,3280.000000,3220.000000,3220.000000,3220.000000,819600
2018-05-21,3220.000000,3260.000000,3180.000000,3190.000000,3190.000000,962500
2018-05-22,3200.000000,3240.000000,3160.000000,3160.000000,3160.000000,462600
2018-05-23,3160.000000,3210.000000,3160.000000,3180.000000,3180.000000,387200
2018-05-24,3180.000000,3320.000000,3120.000000,3140.000000,3140.000000,2242400
2018-05-25,3150.000000,3310.000000,3150.000000,3240.000000,3240.000000,2858700
2018-05-28,3280.000000,3460.000000,3270.000000,3310.000000,3310.000000,7489500
2018-05-29,3310.000000,3310.000000,3310.000000,3310.000000,3310.000000,0
2018-05-30,3310.000000,3360.000000,3280.000000,3340.000000,3340.000000,4553300
2018-05-31,3360.000000,3420.000000,3250.000000,3300.000000,3300.000000,5147100
2018-06-01,3300.000000,3300.000000,3300.000000,3300.000000,3300.000000,0
2018-06-04,3300.000000,3370.000000,3280.000000,3340.000000,3340.000000,2472900
2018-06-05,3340.000000,3560.000000,3340.000000,3440.000000,3440.000000,4671400
2018-06-06,3440.000000,3480.000000,3380.000000,3380.000000,3380.000000,2477000
2018-06-07,3420.000000,3420.000000,3310.000000,3320.000000,3320.000000,1820200
2018-06-08,3320.000000,3350.000000,3250.000000,3280.000000,3280.000000,3178100
2018-06-11,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-12,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-13,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-14,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-15,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-18,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-19,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-20,3290.000000,3320.000000,3160.000000,3280.000000,3280.000000,1517000
2018-06-21,3290.000000,3420.000000,3280.000000,3340.000000,3340.000000,2026800
2018-06-22,3350.000000,3370.000000,3290.000000,3300.000000,3300.000000,587800
2018-06-25,3300.000000,3300.000000,3180.000000,3210.000000,3210.000000,1428100
2018-06-26,3210.000000,3230.000000,3140.000000,3160.000000,3160.000000,430000
2018-06-27,3160.000000,3210.000000,3160.000000,3190.000000,3190.000000,546300
2018-06-28,3180.000000,3200.000000,3130.000000,3150.000000,3150.000000,1013400
2018-06-29,3160.000000,3220.000000,3150.000000,3180.000000,3180.000000,1060700
2018-07-02,3190.000000,3270.000000,3140.000000,3170.000000,3170.000000,428500
2018-07-03,3170.000000,3190.000000,3150.000000,3150.000000,3150.000000,454000
2018-07-04,3150.000000,3210.000000,3150.000000,3210.000000,3210.000000,440900
2018-07-05,3220.000000,3260.000000,3180.000000,3250.000000,3250.000000,421700
2018-07-06,3250.000000,3300.000000,3240.000000,3280.000000,3280.000000,507700
2018-07-09,3320.000000,3370.000000,3280.000000,3310.000000,3310.000000,580200
2018-07-10,3320.000000,3360.000000,3310.000000,3350.000000,3350.000000,888700
2018-07-11,3350.000000,3360.000000,3240.000000,3340.000000,3340.000000,1356900
2018-07-12,3340.000000,3680.000000,3340.000000,3600.000000,3600.000000,3039700
2018-07-13,3630.000000,3780.000000,3630.000000,3690.000000,3690.000000,2754300
2018-07-16,3690.000000,3700.000000,3620.000000,3650.000000,3650.000000,954000
2018-07-17,3700.000000,3880.000000,3660.000000,3880.000000,3880.000000,2198500
2018-07-18,3880.000000,4210.000000,3860.000000,4180.000000,4180.000000,3332800
2018-07-19,4180.000000,4370.000000,4010.000000,4110.000000,4110.000000,3069600
2018-07-20,4100.000000,4210.000000,3920.000000,4180.000000,4180.000000,1551000
2018-07-23,4230.000000,4300.000000,4130.000000,4180.000000,4180.000000,1105900
2018-07-24,4260.000000,4260.000000,4100.000000,4100.000000,4100.000000,1352500
2018-07-25,4110.000000,4110.000000,3950.000000,3970.000000,3970.000000,1002800
2018-07-26,3970.000000,4030.000000,3970.000000,3990.000000,3990.000000,457800
2018-07-27,3990.000000,4000.000000,3930.000000,3970.000000,3970.000000,480000
2018-07-30,3980.000000,3980.000000,3790.000000,3790.000000,3790.000000,748500
2018-07-31,3790.000000,3790.000000,3510.000000,3510.000000,3510.000000,2257200
