Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,null,null,null,null,null,null
2018-02-27,2980.000000,3010.000000,2960.000000,3010.000000,3010.000000,7701800
2018-02-28,2990.000000,3010.000000,2950.000000,2950.000000,2950.000000,10994200
2018-03-01,2970.000000,2980.000000,2820.000000,2890.000000,2890.000000,8334000
2018-03-02,2880.000000,2880.000000,2820.000000,2840.000000,2840.000000,5419800
2018-03-05,2900.000000,2910.000000,2860.000000,2860.000000,2860.000000,2282500
2018-03-06,2860.000000,2890.000000,2850.000000,2870.000000,2870.000000,2359300
2018-03-07,2870.000000,2890.000000,2730.000000,2760.000000,2760.000000,8320800
2018-03-08,2760.000000,2770.000000,2700.000000,2720.000000,2720.000000,6913300
2018-03-09,2730.000000,2770.000000,2720.000000,2750.000000,2750.000000,4662200
2018-03-12,2800.000000,2810.000000,2720.000000,2730.000000,2730.000000,8541900
2018-03-13,2740.000000,2750.000000,2640.000000,2650.000000,2650.000000,6838700
2018-03-14,2620.000000,2700.000000,2590.000000,2590.000000,2590.000000,4587100
2018-03-15,2590.000000,2600.000000,2540.000000,2550.000000,2550.000000,7690700
2018-03-16,2540.000000,2540.000000,2460.000000,2500.000000,2500.000000,13332700
2018-03-19,2500.000000,2640.000000,2500.000000,2600.000000,2600.000000,7353100
2018-03-20,2600.000000,2620.000000,2540.000000,2550.000000,2550.000000,3638200
2018-03-21,2620.000000,2620.000000,2550.000000,2580.000000,2580.000000,3348100
2018-03-22,2600.000000,2620.000000,2530.000000,2530.000000,2530.000000,3811800
2018-03-23,2460.000000,2480.000000,2420.000000,2460.000000,2460.000000,4456600
2018-03-26,2450.000000,2550.000000,2440.000000,2520.000000,2520.000000,3343000
2018-03-27,2550.000000,2580.000000,2500.000000,2520.000000,2520.000000,5604100
2018-03-28,2510.000000,2580.000000,2510.000000,2520.000000,2520.000000,5314400
2018-03-29,2520.000000,2560.000000,2470.000000,2520.000000,2520.000000,4252500
2018-03-30,2520.000000,2520.000000,2520.000000,2520.000000,2520.000000,0
2018-04-02,2520.000000,2520.000000,2410.000000,2430.000000,2430.000000,7548500
2018-04-03,2400.000000,2450.000000,2340.000000,2360.000000,2360.000000,6626900
2018-04-04,2370.000000,2540.000000,2360.000000,2540.000000,2540.000000,14698700
2018-04-05,2540.000000,2600.000000,2470.000000,2570.000000,2570.000000,9789500
2018-04-06,2580.000000,2600.000000,2540.000000,2560.000000,2560.000000,3291100
2018-04-09,2570.000000,2580.000000,2550.000000,2570.000000,2570.000000,3452500
2018-04-10,2570.000000,2840.000000,2560.000000,2730.000000,2730.000000,10384200
2018-04-11,2730.000000,2760.000000,2670.000000,2750.000000,2750.000000,7352400
